,fname,text
0,arithmeticError.md,"arithmeticError.md. ## `arithmeticError` ### Signature ```solidity stdError.arithmeticError ``` ### Description The internal Solidity error when an arithmetic operation fails, e.g. underflow and overflow. ### Example Assume we have a basic vault contract that can store some token (`wmdToken`): ```solidity contract BasicVault {  IERC20 public immutable wmdToken;  mapping(address => uint) public balances;  event Deposited(address indexed from, uint amount);  event Withdrawal(address indexed from, uint amount);  constructor(IERC20 wmdToken_){   wmdToken = wmdToken_;  }  function deposit(uint amount) external {    balances[msg.sender] += amount;   bool success = wmdToken.transferFrom(msg.sender, address(this), amount);   require(success, ""Deposit failed!"");   emit Deposited(msg.sender, amount);  }  function withdraw(uint amount) external {    balances[msg.sender] -= amount;   bool success = wmdToken.transfer(msg.sender, amount);   require(success, ""Withdrawal failed!"");   emit Withdrawal(msg.sender, amount);  } } ``` We have a test function to ensure that a user is unable to withdraw tokens in excess of his deposit, like so: ```solidity function testUserCannotWithdrawExcessOfDeposit() public {  vm.prank(user);  vm.expectRevert(stdError.arithmeticError);  vault.withdraw(userTokens + 100*10**18); } ``` 1. User has tokens of amount `userTokens` deposited in a Vault contract. 2. User attempts to withdraw tokens of amount in excess of his deposits. 3. This leads to an underflow error, resulting from: `balances[msg.sender] -= amount;` as it would evaluate into a negative value. To catch the error ""Arithmetic over/underflow"", we insert `vm.expectRevert(stdError.arithmeticError)` just before the function call that is expected to result in an underflow. "
1,transaction-options.md,"transaction-options.md. #### Transaction Options `--gas-limit` *gas_limit* &nbsp;&nbsp;&nbsp;&nbsp;Gas limit for the transaction. `--gas-price` *price* &nbsp;&nbsp;&nbsp;&nbsp;Gas price for the transaction, or max fee per gas for EIP1559 transactions. `--priority-gas-price` *price* &nbsp;&nbsp;&nbsp;&nbsp;Max priority fee per gas for EIP1559 transactions. {{#include ../common/tx-value-option.md}} `--nonce` *nonce* &nbsp;&nbsp;&nbsp;&nbsp;Nonce for the transaction. `--legacy` &nbsp;&nbsp;&nbsp;&nbsp;Send a legacy transaction instead of an [EIP1559][eip1559] transaction. &nbsp;&nbsp;&nbsp;&nbsp;This is automatically enabled for common networks without EIP1559. [eip1559]: https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1559.md "
2,cast-lookup-address.md,"cast-lookup-address.md. ## cast lookup-address ### NAME cast-lookup-address - Perform an ENS reverse lookup. ### SYNOPSIS ``cast lookup-address`` [*options*] *who* ### DESCRIPTION Perform an ENS reverse lookup. If `--verify` is passed, then a normal lookup is performed after the reverse lookup to verify that the address is correct. ### OPTIONS #### Lookup Options `-v` `--verify` &nbsp;&nbsp;&nbsp;&nbsp;Perform a normal lookup to verify that the address is correct. #### RPC Options {{#include ../common/rpc-url-option.md}} {{#include common-options.md}} ### EXAMPLES 1. Get the ENS name for an address.  ```sh  cast lookup-address $ADDRESS  ``` 2. Perform both a reverse and a normal lookup:  ```sh  cast lookup-address --verify $ADDRESS  ``` ### SEE ALSO [cast](./cast.md), [cast resolve-name](./cast-resolve-name.md) "
3,std-errors.md,std-errors.md. ## Std Errors - [`assertionError`](./assertionError.md) - [`arithmeticError`](./arithmeticError.md) - [`divisionError`](./divisionError.md) - [`enumConversionError`](./enumConversionError.md) - [`encodeStorageError`](./encodeStorageError.md) - [`popError`](./popError.md) - [`indexOOBError`](./indexOOBError.md) - [`memOverflowError`](./memOverflowError.md) - [`zeroVarError`](./zeroVarError.md)
4,coinbase.md,coinbase.md. ## `coinbase` ### Signature ```solidity function coinbase(address) external; ``` ### Description Sets `block.coinbase`. ### Examples ```solidity emit log_address(block.coinbase); // 0x0000000000000000000000000000000000000000 vm.coinbase(0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8); emit log_address(block.coinbase); // 0xea674fdde714fd979de3edf0f56aa9716b898ec8 ```
5,project-options.md,"project-options.md. #### Project Options `--build-info` &nbsp;&nbsp;&nbsp;&nbsp;Generate build info files. `--build-info-path` *path* &nbsp;&nbsp;&nbsp;&nbsp;Output path to directory that build info files will be written to. `--root` *path* &nbsp;&nbsp;&nbsp;&nbsp;The project's root path. By default, this is the root directory of the current git repository, or the current working directory. `-C` *path* `--contracts` *path* &nbsp;&nbsp;&nbsp;&nbsp;The contracts source directory. &nbsp;&nbsp;&nbsp;&nbsp;Environment: `DAPP_SRC` `--lib-paths` *path* &nbsp;&nbsp;&nbsp;&nbsp;The path to the library folder. `-R` *remappings* `--remappings` *remappings* &nbsp;&nbsp;&nbsp;&nbsp;The project's remappings. &nbsp;&nbsp;&nbsp;&nbsp;The parameter is a comma-separated list of remappings in the format `<source>=<dest>`. `--cache-path` *path* &nbsp;&nbsp;&nbsp;&nbsp;The path to the compiler cache. `--config-path` *file* &nbsp;&nbsp;&nbsp;&nbsp;Path to the config file. `--hh` `--hardhat` &nbsp;&nbsp;&nbsp;&nbsp;This is a convenience flag, and is the same as passing `--contracts contracts --lib-paths node-modules`. "
6,std-math.md,std-math.md. ## Std Math - [`abs`](./abs.md) - [`delta`](./delta.md) - [`percentDelta`](./percentDelta.md)
7,parse-address.md,"parse-address.md. ## `parseAddress` ### Signature ```solidity function parseAddress(string calldata stringifiedValue) external pure returns (address parsedValue); ``` ### Description Parses the value of `string` into `address` ### Examples ```solidity string memory addressAsString = ""0x0000000000000000000000000000000000000000""; address stringToAddress = vm.parseAddress(addressAsString); // 0x0000000000000000000000000000000000000000 ``` "
8,cast-chain.md,"cast-chain.md. ## cast chain ### NAME cast-chain - Get the symbolic name of the current chain. ### SYNOPSIS ``cast chain`` [*options*] ### DESCRIPTION Get the symbolic chain name from the RPC endpoint we are connected to. ### OPTIONS #### RPC Options {{#include ../common/rpc-url-option.md}} {{#include common-options.md}} ### EXAMPLES 1. Get the chain name when talking to `$RPC`:  ```sh  cast chain --rpc-url $RPC  ``` 2. Get the chain name when `$ETH_RPC_URL` is set:  ```sh  cast chain  ``` ### SEE ALSO [cast](./cast.md), [cast chain-id](./cast-chain-id.md) "
9,env-bytes.md,"env-bytes.md. ## `envBytes` ### Signature ```solidity function envBytes(bytes calldata key) external returns (bytes value); ``` ```solidity function envBytes(bytes calldata key, bytes calldata delimiter) external returns (bytes[] memory values); ``` ### Description Read an environment variable as `bytes` or `bytes[]`. ### Tips - For arrays, you can specify the delimiter used to seperate the values with the `delimiter` parameter. ### Examples #### Single Value With environment variable `BYTES_VALUE=0x7109709ECfa91a80626fF3989D68f67F5b1DD12D`; ```solidity bytes memory key = ""BYTES_VALUE""; bytes expected = hex""7109709ECfa91a80626fF3989D68f67F5b1DD12D""; bytes output = cheats.envBytes(key); assertEq(output, expected); ``` #### Array With environment variable `BYTES_VALUE=0x7109709ECfa91a80626fF3989D68f67F5b1DD12D,0x00`; ```solidity bytes memory key = ""BYTES_VALUES""; bytes memory delimiter = "",""; bytes[] memory expected = new bytes[](2); expected[0] = hex""7109709ECfa91a80626fF3989D68f67F5b1DD12D""; expected[1] = hex""00""; bytes[] memory output = cheats.envBytes(key, delimiter); for (uint i = 0; i < expected.length; ++i) {  assert(keccak256(abi.encodePacked((output[i]))) == keccak256(abi.encodePacked((expected[i])))); } ``` "
